DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
26/07/2018,IN MY FEELINGS,DRAKE,4,14,3.37
23/08/2018,SHOTGUN,GEORGE EZRA,2,7,3.21
06/09/2018,EASTSIDE,BENNY BLANCO/HALSEY/KHALID,1,8,2.53
13/09/2018,PROMISES,CALVIN HARRIS & SAM SMITH,5,8,3.33
18/10/2018,FUNKY FRIDAY,DAVE FT. FREDO,1,12,3.02
25/10/2018,PROMISES,CALVIN HARRIS & SAM SMITH,1,8,3.33
01/11/2018,SHALLOW,LADY GAGA & BRADLEY COOPER,2,7,3.35
15/11/2018,"THANK U, NEXT",ARIANA GRANDE,6,13,3.27
27/12/2018,WE BUILT THIS CITY,LADBABY,1,18,4.20
03/01/2019,SWEET BUT PSYCHO,AVA MAX,4,16,3.07
31/01/2019,7 RINGS,ARIANA GRANDE,3,7,2.58
21/02/2019,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED",ARIANA GRANDE,1,40,3.10
28/02/2019,7 RINGS,ARIANA GRANDE,1,7,2.58
07/03/2019,SOMEONE YOU LOVED,LEWIS CAPALDI,7,17,3.02
25/04/2019,OLD TOWN ROAD,LIL NAS X,2,13,2.37
09/05/2019,VOSSI BOP,STORMZY,2,9,3.16
23/05/2019,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,8,12,3.39
18/07/2019,SENORITA,SHAWN MENDES & CAMILA CABELLO,1,8,3.10
25/07/2019,BEAUTIFUL PEOPLE,ED SHEERAN FT. KHALID,1,16,3.17
01/08/2019,SENORITA,SHAWN MENDES & CAMILA CABELLO,5,8,3.10
05/09/2019,TAKE ME BACK TO LONDON,ED SHEERAN FT. STORMZY,5,22,3.09
10/10/2019,DANCE MONKEY,TONES AND I,11,12,3.29
26/12/2019,I LOVE SAUSAGE ROLLS,LADBABY,1,20,3.23
02/01/2020,RIVER,ELLIE GOULDING,1,5,3.41
09/01/2020,OWN IT,"STORMZY, ED SHEERAN & BURNA BOY",3,6,3.36
30/01/2020,GODZILLA,EMINEM FT. JUICE WRLD,1,8,3.30
06/02/2020,BEFORE YOU GO,LEWIS CAPALDI,1,13,3.35
13/02/2020,BLINDING LIGHTS,THE WEEKND,2,15,3.20
27/02/2020,NO TIME TO DIE,BILLIE EILISH,1,14,4.02
05/02/2020,BLINDING LIGHTS,THE WEEKND,3,15,3.20
26/03/2020,ROSES,SAINT JHN,2,5,2.56
09/04/2020,BLINDING LIGHTS,THE WEEKND,3,15,3.20
30/04/2020,YOU'LL NEVER WALK ALONE,MICHAEL BALL & CAPTAIN TOM MOORE,1,23,4.10
07/05/2020,TIMES LIKE THESE,BBC RADIO 1'S LIVE LOUNGE ALLSTARS,1,16,4.16
14/05/2020,TOOSIE SLIDE,DRAKE,1,12,4.07
21/05/2020,ROCKSTAR,DABABY FT. RODDY RICCH,2,8,3.01
04/06/2020,RAIN ON ME,LADY GAGA & ARIANA GRANDE,1,10,3.02
11/06/2020,ROCKSTAR,DABABY FT. RODDY RICCH,4,8,3.01
09/07/2020,SAVAGE LOVE (LAXED - SIREN BEAT),JAWSH 685 & JASON DERULO,3,32,2.51
30/07/2020,HEAD & HEART,JOEL CORRY FT. MNEK,4,12,2.46
