DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
19/06/1968,JUMPIN' JACK FLASH,ROLLING STONES,2,18,3.39
03/07/1968,BABY COME BACK,EQUALS,3,14,2.32
24/07/1968,I PRETEND,DES O'CONNOR,1,9,2.48
31/07/1968,MONY MONY,TOMMY JAMES & THE SHONDELLS,2,9,2.46
14/08/1968,FIRE,CRAZY WORLD OF ARTHUR BROWN,1,4,2.55
21/08/1968,MONY MONY,TOMMY JAMES & THE SHONDELLS,1,9,2.46
28/08/1968,DO IT AGAIN,BEACH BOYS,1,11,2.26
04/09/1968,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES,1,31,2.57
11/09/1968,HEY JUDE,BEATLES,2,8,7.05
25/09/1968,THOSE WERE THE DAYS,MARY HOPKIN,6,19,4.01
06/11/1968,WITH A LITTLE HELP FROM MY FRIENDS,JOE COCKER,1,34,5.12
13/11/1968,THE GOOD THE BAD AND THE UGLY,HUGO MONTENEGRO & HIS ORCHESTRA & CHORUS,4,29,2.45
11/12/1968,LILY THE PINK,SCAFFOLD,3,13,4.20
01/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,1,17,3.00
08/01/1969,LILY THE PINK,SCAFFOLD,1,13,4.20
15/01/1969,OB-LA-DI OB-LA-DA,MARMALADE,2,17,3.00
29/01/1969,ALBATROSS,FLEETWOOD MAC,1,9,3.10
05/02/1969,BLACKBERRY WAY,MOVE,1,14,3.49
12/02/1969,(IF PARADISE IS) HALF AS NICE,AMEN CORNER,2,29,2.48
26/02/1969,WHERE DO YOU GO TO MY LOVELY,PETER SARSTEDT,4,28,4.44
26/03/1969,I HEARD IT THROUGH THE GRAPEVINE,MARVIN GAYE,3,32,3.14
16/04/1969,ISRAELITES,DESMOND DEKKER & THE ACES,1,10,2.35
23/04/1969,GET BACK,BEATLES WITH BILLY PRESTON,6,8,3.09
04/06/1969,DIZZY,TOMMY ROE,1,5,2.57
11/06/1969,THE BALLAD OF JOHN AND YOKO,BEATLES,3,27,2.59
02/07/1969,SOMETHING IN THE AIR,THUNDERCLAP NEWMAN,3,20,3.54
23/07/1969,HONKY TONK WOMEN,ROLLING STONES,5,16,3.02
30/08/1969,IN THE YEAR 2525 (EXORIUM AND TERMINUS),ZAGER & EVANS,3,39,3.14
20/09/1969,BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL,3,15,2.21
11/10/1969,JE T'AIME... MOI NON PLUS,JANE BIRKIN & SERGE GAINSBOURG,1,25,4.30
18/10/1969,I'LL NEVER FALL IN LOVE AGAIN,BOBBY GENTRY,1,29,2.56
25/10/1969,SUGAR SUGAR,ARCHIES,8,11,2.27
20/12/1969,TWO LITTLE BOYS,ROLF HARRIS,6,15,3.18
31/01/1970,LOVE GROWS (WHERE MY ROSEMARY GOES),EDISON LIGHTHOUSE,5,35,2.47
07/03/1970,WANDRIN' STAR,LEE MARVIN,3,13,4.28
28/03/1970,BRIDGE OVER TROUBLED WATER,SIMON & GARFUNKEL,3,26,4.53
18/04/1970,ALL KINDS OF EVERYTHING,DANA,2,23,3.01
02/05/1970,SPIRIT IN THE SKY,NORMAN GREENBAUM,2,17,3.59
16/05/1970,BACK HOME,ENGLAND WORLD CUP SQUAD,3,9,2.03
06/06/1970,YELLOW RIVER,CHRISTIE,1,12,2.46
13/06/1970,IN THE SUMMERTIME,MUNGO JERRY,7,17,3.31
01/08/1970,THE WONDER OF YOU,ELVIS PRESLEY,6,17,2.25
12/09/1970,TEARS OF A CLOWN,SMOKEY ROBINSON & THE MIRACLES,1,16,3.01
19/09/1970,BAND OF GOLD,FREDA PAYNE,6,12,2.58
31/10/1970,WOODSTOCK,MATTHEW'S SOUTHERN COMFORT,3,9,4.27
21/11/1970,VOODOO CHILE,JIMI HENDRIX EXPERIENCE,1,12,14.59
28/11/1970,I HEAR YOU KNOCKING,DAVE EDMUNDS,6,19,2.47
09/01/1971,GRANDAD,CLIVE DUNN,3,7,3.24
30/01/1971,MY SWEET LORD,GEORGE HARRISON,5,13,4.41
06/03/1971,BABY JUMP,MUNGO JERRY,2,9,4.10
20/03/1971,HOT LOVE,T REX,6,8,4.55
01/05/1971,DOUBLE BARREL,DAVE & ANSIL COLLINS,2,13,2.45
15/05/1971,KNOCK THREE TIMES,DAWN,5,17,2.57
19/06/1971,CHIRPY CHIRPY CHEEP CHEEP,MIDDLE OF THE ROAD,5,25,2.57
24/07/1971,GET IT ON,T REX,4,9,4.22
21/08/1971,I'M STILL WAITING,DIANA ROSS,4,17,3.44
18/09/1971,HEY GIRL DON'T BOTHER ME,TAMS,3,24,2.31
09/10/1971,REASON TO BELIEVE/MAGGIE MAY,ROD STEWART,5,28,4.10
13/11/1971,COZ I LUV YOU,SLADE,4,13,3.26
11/12/1971,ERNIE (THE FASTEST MILKMAN IN THE WEST),BENNY HILL,4,39,3.51
08/01/1972,I'D LIKE TO TEACH THE WORLD TO SING (IN PERFECT HARMONY),NEW SEEKERS,4,56,2.22
05/02/1972,TELEGRAM SAM,T REX,2,12,3.45
19/02/1972,SON OF MY FATHER,CHICORY TIP,3,16,3.07
11/03/1972,WITHOUT YOU,NILSSON,5,11,3.21
15/04/1972,AMAZING GRACE,THE PIPES & DRUMS & MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARDS,5,13,2.58
20/05/1972,METAL GURU,T REX,4,10,2.29
17/06/1972,VINCENT,DON MCLEAN,2,7,4.00
01/07/1972,TAKE ME BACK 'OME,SLADE,1,17,3.16
08/07/1972,PUPPY LOVE,DONNY OSMOND,5,10,3.04
12/08/1972,SCHOOL'S OUT,ALICE COOPER,3,12,3.30
